,dia,exercise_type,total_calorie,minutos
0,1,walk,421.98022,65.05978333333333
1,2,crosstraining,612.29,58.0738
2,2,walk,155.86206,24.3156
3,3,crosstraining,1117.53,94.20448333333333
4,4,crosstraining,572.56,55.27615
5,4,walk,101.07128,13.405516666666667
6,5,walk,207.6559,32.586866666666666
7,7,crosstraining,592.53,54.739733333333334
8,7,walk,292.95186,45.86273333333333
9,8,walk,976.44502,89.73983333333334
10,9,crosstraining,514.88,50.39041666666667
11,9,walk,327.6757,33.972183333333334
12,10,walk,375.03519,99.14431666666667
13,11,0,95.226776,15.798166666666667
14,11,crosstraining,506.03,47.602383333333336
15,11,walk,783.54953,92.70363333333333
16,12,walk,499.65049999999997,74.91828333333333
17,13,crosstraining,215.49,30.09
18,14,crosstraining,610.54,55.9123
19,14,walk,177.34566,26.30153333333333
20,15,cicling,105.24,11.445666666666666
21,15,crosstraining,1010.49,85.77525
22,17,crosstraining,563.49,54.20561666666667
23,17,walk,84.16507,10.973666666666666
24,18,0,62.478756,11.179583333333333
25,18,crosstraining,378.91306,38.72136666666667
26,18,walk,195.08588,29.284183333333335
27,19,walk,79.0,11.1657
28,20,walk,68.541016,11.145
29,21,crosstraining,664.04,59.19616666666667
30,21,walk,79.941895,11.539583333333333
31,22,walk,97.70235,12.958866666666667
32,23,crosstraining,643.85,60.27571666666667
33,23,walk,148.00002,21.678983333333335
34,25,walk,278.69903999999997,38.80385
35,26,walk,94.0,10.566216666666667
36,27,walk,338.73929,52.74425
37,28,cicling,191.03411,18.775266666666667
38,28,crosstraining,567.19,52.47403333333333
39,28,walk,102.66264,14.471433333333334
40,29,walk,254.03668,38.59648333333333
41,30,cicling,187.25841,20.654733333333333
42,30,crosstraining,526.81,51.3912
43,30,walk,197.26255,26.174033333333334
